Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
1,10,32,1,2010,2.290,0.172,maternal non-kin,6.200,0.200,0.000,0.602,0.705,0,0,0,0
1,10,32,1,2011,0.571,0.172,maternal non-kin,6.200,0.100,0.000,0.875,0.866,0,0,0,0
1,11,8,2,2009,3.328,0.406,paternal sib,3.000,0.778,0.333,0.809,0.766,0,1,0,1
1,11,8,2,2010,0.307,0.406,paternal sib,3.000,0.700,0.400,0.845,0.742,0,0,0,1
1,11,8,2,2011,1.372,0.406,paternal sib,3.000,0.700,0.300,0.887,0.838,0,0,0,0
1,12,11,2,2009,4.510,0.123,paternal sib,1.000,0.556,0.333,0.810,0.766,0,0,0,1
1,12,11,2,2010,0.377,0.123,paternal sib,1.000,0.600,0.400,0.758,0.742,0,0,0,1
1,12,11,2,2011,0.502,0.123,paternal sib,1.000,0.500,0.300,0.875,0.838,0,0,0,0
1,13,18,2,2009,1.792,0.000,maternal non-kin,0.900,0.000,0.333,0.729,0.766,0,0,0,1
1,13,18,2,2010,1.114,0.000,maternal non-kin,0.900,0.100,0.400,0.921,0.742,1,0,0,1
1,13,18,2,2011,0.797,0.000,maternal non-kin,0.900,0.600,0.300,0.887,0.838,1,0,0,0
1,14,26,2,2009,3.389,0.000,maternal non-kin,2.300,0.889,0.333,0.841,0.766,0,0,0,1
1,14,26,2,2010,0.681,0.000,maternal non-kin,2.300,0.900,0.400,0.951,0.742,0,0,0,1
1,14,26,2,2011,0.260,0.000,maternal non-kin,2.300,0.900,0.300,0.929,0.838,1,0,0,0
1,15,27,2,2009,0.103,0.350,Excluded from model testing for effect of kinship categories,13.900,0.222,0.333,0.609,0.766,0,0,0,1
1,15,27,2,2010,0.620,0.350,Excluded from model testing for effect of kinship categories,13.900,0.300,0.400,0.740,0.742,0,1,0,1
1,15,27,2,2011,0.241,0.350,Excluded from model testing for effect of kinship categories,13.900,0.200,0.300,0.731,0.838,0,0,0,0
1,16,28,2,2009,3.626,0.000,maternal non-kin,0.200,0.667,0.333,0.969,0.766,1,0,0,1
1,16,28,2,2010,0.320,0.000,maternal non-kin,0.200,0.800,0.400,0.882,0.742,0,0,0,1
1,16,28,2,2011,0.379,0.000,maternal non-kin,0.200,0.800,0.300,0.940,0.838,0,0,0,0
1,17,29,2,2009,1.694,0.000,maternal non-kin,4.700,1.000,0.333,0.879,0.766,0,0,0,1
1,17,29,2,2010,0.075,0.000,maternal non-kin,4.700,1.000,0.400,0.956,0.742,0,0,0,1
1,17,29,2,2011,0.116,0.000,maternal non-kin,4.700,1.000,0.300,0.976,0.838,0,1,0,0
1,18,30,2,2009,0.716,0.500,mother-offspring,7.000,0.444,0.333,0.591,0.766,1,0,0,1
1,18,30,2,2010,0.553,0.500,mother-offspring,7.000,0.500,0.400,0.692,0.742,0,0,0,1
1,18,30,2,2011,1.993,0.500,mother-offspring,7.000,0.400,0.300,0.863,0.838,0,0,0,0
1,19,32,2,2009,0.000,0.034,maternal non-kin,4.200,0.111,0.333,0.619,0.766,0,0,0,1
1,19,32,2,2010,0.075,0.034,maternal non-kin,4.200,0.200,0.400,0.602,0.742,0,0,0,1
1,19,32,2,2011,0.497,0.034,maternal non-kin,4.200,0.100,0.300,0.875,0.838,0,0,0,0
3,20,6,3,2005,1.280,0.524,mother-offspring,16.600,0.250,0.000,NA,NA,0,0,0,1
3,20,6,3,2006,0.688,0.524,mother-offspring,16.600,0.000,0.250,NA,NA,0,0,0,0
3,20,6,3,2007,1.106,0.524,mother-offspring,16.600,0.000,0.500,NA,NA,0,0,1,0
3,20,6,3,2008,0.906,0.524,mother-offspring,16.600,0.000,0.500,NA,NA,1,0,1,0
3,21,7,3,2005,1.775,0.000,maternal non-kin,8.400,0.500,0.000,NA,NA,0,1,0,1
3,21,7,3,2006,0.684,0.000,maternal non-kin,8.400,0.750,0.250,NA,NA,0,1,0,0
3,21,7,3,2007,0.521,0.000,maternal non-kin,8.400,0.750,0.500,NA,NA,0,1,1,0
3,21,7,3,2008,0.390,0.000,maternal non-kin,8.400,0.750,0.500,NA,NA,0,1,1,0
3,21,7,3,2009,0.404,0.000,maternal non-kin,8.400,0.800,0.200,0.903,0.665,0,1,0,0
3,22,10,3,2005,1.524,0.060,maternal non-kin,6.200,1.000,0.000,NA,NA,1,0,0,1
3,22,10,3,2006,0.534,0.060,maternal non-kin,6.200,1.000,0.250,NA,NA,0,1,0,0
3,22,10,3,2007,0.590,0.060,maternal non-kin,6.200,1.000,0.500,NA,NA,0,1,1,0
3,22,10,3,2008,0.625,0.060,maternal non-kin,6.200,1.000,0.500,NA,NA,0,1,1,0
3,22,10,3,2009,0.798,0.060,maternal non-kin,6.200,1.000,0.200,0.891,0.665,0,1,0,0
3,23,22,3,2009,0.484,0.534,mother-offspring,20.300,0.000,0.200,0.851,0.665,1,0,0,0
3,24,25,3,2005,1.379,0.500,mother-offspring,13.200,0.750,0.000,NA,NA,0,1,0,1
3,24,25,3,2006,0.876,0.500,mother-offspring,13.200,0.500,0.250,NA,NA,0,1,0,0
3,24,25,3,2007,0.492,0.500,mother-offspring,13.200,0.250,0.500,NA,NA,1,0,1,0
3,24,25,3,2008,1.134,0.500,mother-offspring,13.200,0.250,0.500,NA,NA,0,0,1,0
3,24,25,3,2009,1.956,0.500,mother-offspring,13.200,0.600,0.200,0.750,0.665,0,0,0,0
3,25,6,4,2010,3.304,0.000,maternal non-kin,5.300,0.571,0.429,0.868,0.991,0,1,0,0
3,25,6,4,2011,1.229,0.000,maternal non-kin,5.300,0.333,0.667,0.875,0.955,0,1,0,0
3,26,7,4,2010,3.506,0.500,mother-offspring,13.400,0.857,0.429,0.898,0.991,0,1,0,0
3,26,7,4,2011,2.467,0.500,mother-offspring,13.400,0.833,0.667,0.928,0.955,0,0,0,0
3,27,10,4,2010,2.437,0.000,maternal non-kin,15.600,1.000,0.429,0.929,0.991,0,1,0,0
